Verbe,Pronom,Présent,Conditionnel,Passé Composé,Futur Simple,Subjonctif Présent,Subjonctif Passé
Mettre,ils/elles,mettent,mettraient,ont mis,mettront,mettent,aient mis
Pouvoir,je,peux,pourrais,ai pu,pourrai,puisse,aie pu
Pouvoir,tu,peux,pourrais,as pu,pourras,puisses,aies pu
Pouvoir,il/elle,peut,pourrait,a pu,pourra,puisse,ait pu
Pouvoir,nous,pouvons,pourrions,avons pu,pourrons,puissions,ayons pu
Pouvoir,vous,pouvez,pourriez,avez pu,pourrez,puissiez,ayez pu
Pouvoir,ils/elles,peuvent,pourraient,ont pu,pourront,puissent,aient pu
Vouloir,je,veux,voudrais,ai voulu,voudrai,veuille,aie voulu
Vouloir,tu,veux,voudrais,as voulu,voudras,veuilles,aies voulu
Vouloir,il/elle,veut,voudrait,a voulu,voudra,veuille,ait voulu
Vouloir,nous,voulons,voudrions,avons voulu,voudrons,voulions,ayons voulu
Vouloir,vous,voulez,voudriez,avez voulu,voudrez,vouliez,ayez voulu
Vouloir,ils/elles,veulent,voudraient,ont voulu,voudront,veuillent,aient voulu
Savoir,je,sais,saurais,ai su,saurai,sache,aie su
Savoir,tu,sais,saurais,as su,sauras,saches,aies su
Savoir,il/elle,sait,saurait,a su,saura,sache,ait su
Savoir,nous,savons,saurions,avons su,saurons,sachions,ayons su
Savoir,vous,savez,sauriez,avez su,saurez,sachiez,ayez su
Savoir,ils/elles,savent,sauraient,ont su,sauront,sachent,aient su
Devoir,je,dois,devrais,ai dû,devrai,doive,aie dû
Devoir,tu,dois,devrais,as dû,devras,doives,aies dû
Devoir,il/elle,doit,devrait,a dû,devra,doive,ait dû
Devoir,nous,devons,devrions,avons dû,devrons,devions,ayons dû
Devoir,vous,devez,devriez,avez dû,devrez,deviez,ayez dû
Devoir,ils/elles,doivent,devraient,ont dû,devront,doivent,aient dû
Falloir,je,-,-,-,-,-,-
Falloir,tu,-,-,-,-,-,-
Falloir,il/elle,faut,faudrait,a fallu,faudra,faille,ait fallu
Falloir,nous,-,-,-,-,-,-
Falloir,vous,-,-,-,-,-,-
Falloir,ils/elles,-,-,-,-,-,-
Finir,je,finis,finirais,ai fini,finirai,finisse,aie fini
Finir,tu,finis,finirais,as fini,finiras,finisses,aies fini
Finir,il/elle,finit,finirait,a fini,finira,finisse,ait fini
Finir,nous,finissons,finirions,avons fini,finirons,finissions,ayons fini
Finir,vous,finissez,finiriez,avez fini,finirez,finissiez,ayez fini
Finir,ils/elles,finissent,finiraient,ont fini,finiront,finissent,aient fini
Dire,je,dis,dirais,ai dit,dirai,dise,aie dit
Dire,tu,dis,dirais,as dit,diras,dises,aies dit
Dire,il/elle,dit,dirait,a dit,dira,dise,ait dit
Dire,nous,disons,dirions,avons dit,dirons,disions,ayons dit
Dire,vous,dites,diriez,avez dit,direz,disiez,ayez dit
Dire,ils/elles,disent,diraient,ont dit,diront,disent,aient dit
Prendre,je,prends,prendrais,ai pris,prendrai,prenne,aie pris
Prendre,tu,prends,prendrais,as pris,prendras,prennes,aies pris
Prendre,il/elle,prend,prendrait,a pris,prendra,prenne,ait pris
Prendre,nous,prenons,prendrions,avons pris,prendrons,prenions,ayons pris
Prendre,vous,prenez,prendriez,avez pris,prendrez,preniez,ayez pris
Prendre,ils/elles,prennent,prendraient,ont pris,prendront,prennent,aient pris
Voir,je,vois,verrais,ai vu,verrai,voie,aie vu
Voir,tu,vois,verrais,as vu,verras,voies,aies vu
Voir,il/elle,voit,verrait,a vu,verra,voie,ait vu
Voir,nous,voyons,verrions,avons vu,verrons,voyions,ayons vu
Voir,vous,voyez,verriez,avez vu,verrez,voyiez,ayez vu
Voir,ils/elles,voient,verraient,ont vu,verront,voient,aient vu
Lire,je,lis,lirais,ai lu,lirai,lise,aie lu
Lire,tu,lis,lirais,as lu,liras,lises,aies lu
Lire,il/elle,lit,lirait,a lu,lira,lise,ait lu
Lire,nous,lisons,lirions,avons lu,lirons,lisions,ayons lu
Lire,vous,lisez,liriez,avez lu,lirez,lisiez,ayez lu
Lire,ils/elles,lisent,liraient,ont lu,liront,lisent,aient lu
Écrire,je,écris,écrirais,ai écrit,écrirai,écrive,aie écrit
Écrire,tu,écris,écrirais,as écrit,écriras,écrives,aies écrit
Écrire,il/elle,écrit,écrirait,a écrit,écrira,écrive,ait écrit
Écrire,nous,écrivons,écririons,avons écrit,écrirons,écrivions,ayons écrit
Écrire,vous,écrivez,écririez,avez écrit,écrirez,écriviez,ayez écrit
Écrire,ils/elles,écrivent,écriraient,ont écrit,écriront,écrivent,aient écrit
Appeler,je,appelle,appellerais,ai appelé,appellerai,appelle,aie appelé
Appeler,tu,appelles,appellerais,as appelé,appelleras,appelles,aies appelé
Appeler,il/elle,appelle,appellerait,a appelé,appellera,appelle,ait appelé
Appeler,nous,appelons,appellerions,avons appelé,appellerons,appelions,ayons appelé
Appeler,vous,appelez,appelleriez,avez appelé,appellerez,appeliez,ayez appelé
Appeler,ils/elles,appellent,appelleraient,ont appelé,appelleront,appellent,aient appelé
Acheter,je,achète,achèterais,ai acheté,achèterai,achete,aie acheté
Acheter,tu,achètes,achèterais,as acheté,achèteras,achetes,aies acheté
Acheter,il/elle,achète,achèterait,a acheté,achètera,achete,ait acheté
Acheter,nous,achetons,achèterions,avons acheté,achèterons,achetions,ayons acheté
Acheter,vous,achetez,achèteriez,avez acheté,achèterez,achetiez,ayez acheté
Acheter,ils/elles,achètent,achèteraient,ont acheté,achèteront,achetent,aient acheté
Envoyer,je,envoie,enverrais,ai envoyé,enverrai,envoye,aie envoyé
Envoyer,tu,envoies,enverrais,as envoyé,enverras,envoyes,aies envoyé
Envoyer,il/elle,envoie,enverrait,a envoyé,enverra,envoye,ait envoyé
Envoyer,nous,envoyons,enverrions,avons envoyé,enverrons,envoyions,ayons envoyé
Envoyer,vous,envoyez,enverriez,avez envoyé,enverrez,envoyiez,ayez envoyé
Envoyer,ils/elles,envoient,enverraient,ont envoyé,enverront,envoyent,aient envoyé
Pleuvoir,je,-,-,-,-,-,-
Pleuvoir,tu,-,-,-,-,-,-
Pleuvoir,il/elle,pleut,pleuvrait,a plu,pleuvra,pleuve,ait plu
Pleuvoir,nous,-,-,-,-,-,-
Pleuvoir,vous,-,-,-,-,-,-
Pleuvoir,ils/elles,-,-,-,-,-,-
Boire,je,bois,boirais,ai bu,boirai,boive,aie bu
Boire,tu,bois,boirais,as bu,boiras,boives,aies bu
Boire,il/elle,boit,boirait,a bu,boira,boive,ait bu
Boire,nous,buvons,boirions,avons bu,boirons,buvions,ayons bu
Boire,vous,buvez,boiriez,avez bu,boirez,buviez,ayez bu
Boire,ils/elles,boivent,boiraient,ont bu,boiront,boivent,aient bu
Connaître,je,connais,connaîtrais,ai connu,connaîtrai,connais,aie connu
Connaître,tu,connais,connaîtrais,as connu,connaîtras,connaisses,aies connu
Connaître,il/elle,connaît,connaîtrait,a connu,connaîtra,connaisse,ait connu
Connaître,nous,connaissons,connaîtrions,avons connu,connaîtrons,connaissions,ayons connu
Connaître,vous,connaissez,connaîtriez,avez connu,connaîtrez,connaissiez,ayez connu
Connaître,ils/elles,connaissent,connaîtraient,ont connu,connaîtront,connaissent,aient connu
Courir,je,cours,courrais,ai couru,courrai,coure,aie couru
Courir,tu,cours,courrais,as couru,courras,coures,aies couru
Courir,il/elle,court,courrait,a couru,courra,coure,ait couru
Courir,nous,courons,courrions,avons couru,courrons,courions,ayons couru
Courir,vous,courez,courriez,avez couru,courrez,couriez,ayez couru
Courir,ils/elles,courent,courraient,ont couru,courront,courent,aient couru
Ouvrir,je,ouvre,ouvrirais,ai ouvert,ouvrirai,ouvre,aie ouvert
Ouvrir,tu,ouvres,ouvrirais,as ouvert,ouvriras,ouvres,aies ouvert
Ouvrir,il/elle,ouvre,ouvrirait,a ouvert,ouvrira,ouvre,ait ouvert
Ouvrir,nous,ouvrons,ouvririons,avons ouvert,ouvrirons,ouvrions,ayons ouvert
Ouvrir,vous,ouvrez,ouvririez,avez ouvert,ouvrirez,ouvriez,ayez ouvert
Ouvrir,ils/elles,ouvrent,ouvriraient,ont ouvert,ouvriront,ouvrent,aient ouvert
Rendre,je,rends,rendrais,ai rendu,rendrai,rende,aie rendu
Rendre,tu,rends,rendrais,as rendu,rendras,rendes,aies rendu
Rendre,il/elle,rend,rendrait,a rendu,rendra,rende,ait rendu
Rendre,nous,rendons,rendrions,avons rendu,rendrons,rendions,ayons rendu
Rendre,vous,rendez,rendriez,avez rendu,rendrez,rendiez,ayez rendu
Rendre,ils/elles,rendent,rendraient,ont rendu,rendront,rendent,aient rendu
Suivre,je,suis,suivrais,ai suivi,suivrai,suive,aie suivi
Suivre,tu,suis,suivrais,as suivi,suivras,suives,aies suivi
Suivre,il/elle,suit,suivrait,a suivi,suivra,suive,ait suivi
Suivre,nous,suivons,suivrions,avons suivi,suivrons,suivions,ayons suivi
Suivre,vous,suivez,suivriez,avez suivi,suivrez,suiviez,ayez suivi
Suivre,ils/elles,suivent,suivraient,ont suivi,suivront,suivent,aient suivi
Plaire,je,plais,plairais,ai plu,plairai,plaise,aie plu
Plaire,tu,plais,plairais,as plu,plairas,plaises,aies plu
Plaire,il/elle,plaît,plairait,a plu,plaira,plaise,ait plu
Plaire,nous,plaisons,plairions,avons plu,plairons,plaisions,ayons plu
Plaire,vous,plaisez,plairiez,avez plu,plairez,plaisiez,ayez plu
Plaire,ils/elles,plaisent,plairaient,ont plu,plairont,plaisent,aient plu
Croire,je,crois,croirais,ai cru,croirai,croie,aie cru
Croire,tu,crois,croirais,as cru,croiras,croies,aies cru
Croire,il/elle,croit,croirait,a cru,croira,croie,ait cru
Croire,nous,croyons,croirions,avons cru,croirons,croyions,ayons cru
Croire,vous,croyez,croiriez,avez cru,croirez,croyiez,ayez cru
Croire,ils/elles,croient,croiraient,ont cru,croiront,croient,aient cru
Craindre,je,crains,craindrais,ai craint,craindrai,craigne,aie craint
Craindre,tu,crains,craindrais,as craint,craindras,craignes,aies craint
Craindre,il/elle,craint,craindrait,a craint,craindra,craigne,ait craint
Craindre,nous,craignons,craindrions,avons craint,craindrons,craignions,ayons craint
Craindre,vous,craignez,craindriez,avez craint,craindrez,craigniez,ayez craint
Craindre,ils/elles,craignent,craindraient,ont craint,craindront,craignent,aient craint
Naître,je,nais,naîtrais,suis né(e),naîtrai,naisse,sois né
Naître,tu,nais,naîtrais,es né(e),naîtras,naisses,sois né
Naître,il/elle,naît,naîtrait,est né(e),naîtra,naisse,soit né
Naître,nous,naissons,naîtrions,sommes né(e)s,naîtrons,naissions,soyons nés
Naître,vous,naissez,naîtriez,êtes né(e)(s),naîtrez,naissiez,soyez né(s)
Naître,ils/elles,naissent,naîtraient,sont né(e)s,naîtront,naissent,soient nés
Mourir,je,meurs,mourrais,suis mort(e),mourrai,meure,sois mort
Mourir,tu,meurs,mourrais,es mort(e),mourras,meures,sois mort
Mourir,il/elle,meurt,mourrait,est mort(e),mourra,meure,soit mort
Mourir,nous,mourons,mourrions,sommes mort(e)s,mourrons,mourions,soyons morts
Mourir,vous,mourez,mourriez,êtes mort(e)(s),mourrez,mouriez,soyez mort(s)
Mourir,ils/elles,meurent,mourraient,sont mort(e)s,mourront,meurent,soient morts
Battre,je,bats,battrais,ai battu,battrai,batte,aie battu
Battre,tu,bats,battrais,as battu,battras,battes,aies battu
Battre,il/elle,bat,battrait,a battu,battra,batte,ait battu
Battre,nous,battons,battrions,avons battu,battrons,battions,ayons battu
Battre,vous,battez,battriez,avez battu,battrez,battiez,ayez battu
Battre,ils/elles,battent,battraient,ont battu,battront,battent,aient battu
Conduire,je,conduis,conduirais,ai conduit,conduirai,conduise,aie conduit
Conduire,tu,conduis,conduirais,as conduit,conduiras,conduises,aies conduit
Conduire,il/elle,conduit,conduirait,a conduit,conduira,conduise,ait conduit
Conduire,nous,conduisons,conduirions,avons conduit,conduirons,conduisions,ayons conduit
Conduire,vous,conduisez,conduiriez,avez conduit,conduirez,conduisiez,ayez conduit
Conduire,ils/elles,conduisent,conduiraient,ont conduit,conduiront,conduisent,aient conduit
Rire,je,ris,rirais,ai ri,rirai,rie,aie ri
Rire,tu,ris,rirais,as ri,riras,ries,aies ri
Rire,il/elle,rit,rirait,a ri,rira,rie,ait ri
Rire,nous,rions,ririons,avons ri,rirons,riions,ayons ri
Rire,vous,riez,ririez,avez ri,rirez,riiez,ayez ri
Rire,ils/elles,rient,riraient,ont ri,riront,rient,aient ri
Valoir,je,vaux,vaudrais,ai valu,vaudrai,vaille,aie valu
Valoir,tu,vaux,vaudrais,as valu,vaudras,vailles,aies valu
Valoir,il/elle,vaut,vaudrait,a valu,vaudra,vaille,ait valu
Valoir,nous,valons,vaudrions,avons valu,vaudrons,valions,ayons valu
Valoir,vous,valez,vaudriez,avez valu,vaudrez,valiez,ayez valu
Valoir,ils/elles,valent,vaudraient,ont valu,vaudront,vaillent,aient valu
Essuyer,je,essuie,essuierais,ai essuyé,essuierai,essuye,aie essuyé
Essuyer,tu,essuies,essuierais,as essuyé,essuieras,essuyes,aies essuyé
Essuyer,il/elle,essuie,essuierait,a essuyé,essuiera,essuye,ait essuyé
Essuyer,nous,essuyons,essuierions,avons essuyé,essuierons,essuyions,ayons essuyé
Essuyer,vous,essuyez,essuieriez,avez essuyé,essuierez,essuyiez,ayez essuyé
Essuyer,ils/elles,essuient,essuieraient,ont essuyé,essuieront,essuyent,aient essuyé
s'asseoir,je,m'assieds,m'assiérais,me suis assis(e),m'assiérai,m'assied,me sois assis
s'asseoir,tu,t'assieds,t'assiérais,t'es assis(e),t'assiéras,t'assieds,te sois assis
s'asseoir,il/elle,s'assied,s'assiérait,s'est assis(e),s'assiéra,s'assiede,se soit assis
s'asseoir,nous,nous asseyons,nous assiérions,nous sommes assis(e)s,nous assiérons,nous asseyions,nous soyons assis
s'asseoir,vous,vous asseyez,vous assiériez,vous êtes assis(e)(s),vous assiérez,vous asseyiez,vous soyez assis
s'asseoir,ils/elles,s'asseyent,se assiéraient,se sont assis(e)s,se assiéront,s'asseyent,se soient assis
geler,je,gèle,gèlerais,ai gelé,gèlerai,gele,aie gelé
geler,tu,gèles,gèlerais,as gelé,gèleras,geles,aies gelé
geler,il/elle,gèle,gèlerait,a gelé,gèlera,gele,ait gelé
geler,nous,gelons,gèlerions,avons gelé,gèlerons,gelions,ayons gelé
geler,vous,gelez,gèleriez,avez gelé,gèlerez,geliez,ayez gelé
geler,ils/elles,gèlent,gèleraient,ont gelé,gèleront,gelent,aient gelé
acheter,je,achète,achèterais,ai acheté,achèterai,achete,aie acheté
acheter,tu,achètes,achèterais,as acheté,achèteras,achetes,aies acheté
acheter,il/elle,achète,achèterait,a acheté,achètera,achete,ait acheté
acheter,nous,achetons,achèterions,avons acheté,achèterons,achetions,ayons acheté
acheter,vous,achetez,achèteriez,avez acheté,achèterez,achetiez,ayez acheté
acheter,ils/elles,achètent,achèteraient,ont acheté,achèteront,achetent,aient acheté
acquérir,je,acquiers,acquerrais,ai acquis,acquerrai,acquière,aie acquis
acquérir,tu,acquiers,acquerrais,as acquis,acquerras,acquières,aies acquis
acquérir,il/elle,acquiert,acquerrait,a acquis,acquerra,acquière,ait acquis
acquérir,nous,acquérons,acquerrions,avons acquis,acquerrons,acquièrions,ayons acquis
acquérir,vous,acquérez,acquerriez,avez acquis,acquerrez,acquièriez,ayez acquis
acquérir,ils/elles,acquièrent,acquerraient,ont acquis,acquerront,acquièrent,aient acquis
employer,je,emploie,emploierais,ai employé,emploierai,employe,aie employé
employer,tu,emploies,emploierais,as employé,emploieras,employes,aies employé
employer,il/elle,emploie,emploierait,a employé,emploiera,employe,ait employé
employer,nous,employons,emploierions,avons employé,emploierons,employions,ayons employé
employer,vous,employez,emploieriez,avez employé,emploierez,employiez,ayez employé
employer,ils/elles,emploient,emploieraient,ont employé,emploieront,employent,aient employé
jeter,je,jette,jetterais,ai jeté,jetterai,jette,aie jeté
jeter,tu,jettes,jetterais,as jeté,jetteras,jettes,aies jeté
jeter,il/elle,jette,jetterait,a jeté,jettera,jette,ait jeté
jeter,nous,jetons,jetterions,avons jeté,jetterons,jetions,ayons jeté
jeter,vous,jetez,jetteriez,avez jeté,jetterez,jetiez,ayez jeté
jeter,ils/elles,jettent,jetteraient,ont jeté,jetteront,jettent,aient jeté
émouvoir,je,émeus,émouvrais,ai ému,émouvrai,émeuve,aie ému
émouvoir,tu,émeus,émouvrais,as ému,émouvras,émeuves,aies ému
émouvoir,il/elle,émeut,émouvrait,a ému,émouvra,émeuve,ait ému
émouvoir,nous,émouvons,émouvrions,avons ému,émouvrons,émouvions,ayons ému
émouvoir,vous,émouvez,émouvriez,avez ému,émouvrez,émouviez,ayez ému
émouvoir,ils/elles,émeuvent,émouvraient,ont ému,émouvront,émeuvent,aient ému
Inclure,je,inclus,inclurais,ai inclus,inclurai,inclue,aie inclus
Inclure,tu,inclus,inclurais,as inclus,incluras,inclues,aies inclus
Inclure,il/elle,inclut,inclurait,a inclus,inclura,inclue,ait inclus
Inclure,nous,incluons,inclurions,avons inclus,inclurons,incluions,ayons inclus
Inclure,vous,incluez,incluriez,avez inclus,inclurez,incluiez,ayez inclus
Inclure,ils/elles,incluent,incluraient,ont inclus,incluront,incluent,aient inclus
Résoudre,je,résous,résoudrais,ai résolu,résoudrai,résolve,aie résolu
Résoudre,tu,résous,résoudrais,as résolu,résoudras,résolves,aies résolu
Résoudre,il/elle,résout,résoudrait,a résolu,résoudra,résolve,ait résolu
Résoudre,nous,résolvons,résoudrions,avons résolu,résoudrons,résolvions,ayons résolu
Résoudre,vous,résolvez,résoudriez,avez résolu,résoudrez,résolviez,ayez résolu
Résoudre,ils/elles,résolvent,résoudraient,ont résolu,résoudront,résolvent,aient résolu
Conclure,je,conclus,conclurais,ai conclu,conclurai,conclue,aie conclu
Conclure,tu,conclus,conclurais,as conclu,concluras,conclues,aies conclu
Conclure,il/elle,conclut,conclurait,a conclu,conclura,conclue,ait conclu
Conclure,nous,concluons,conclurions,avons conclu,conclurons,concluions,ayons conclu
Conclure,vous,concluez,concluriez,avez conclu,conclurez,concluiez,ayez conclu
Conclure,ils/elles,concluent,concluraient,ont conclu,concluront,concluent,aient conclu
Vivre,je,vis,vivrais,ai vécu,vivrai,vive,aie vécu
Vivre,tu,vis,vivrais,as vécu,vivras,vives,aies vécu
Vivre,il/elle,vit,vivrait,a vécu,vivra,vive,ait vécu
Vivre,nous,vivons,vivrions,avons vécu,vivrons,vivions,ayons vécu
Vivre,vous,vivez,vivriez,avez vécu,vivrez,viviez,ayez vécu
Vivre,ils/elles,vivent,vivraient,ont vécu,vivront,vivent,aient vécu
Suffire,je,suffis,suffirais,ai suffi,suffirai,suffise,aie suffi
Suffire,tu,suffis,suffirais,as suffi,suffiras,suffises,aies suffi
Suffire,il/elle,suffit,suffirait,a suffi,suffira,suffise,ait suffi
Suffire,nous,suffisons,suffirions,avons suffi,suffirons,suffisions,ayons suffi
Suffire,vous,suffisez,suffiriez,avez suffi,suffirez,suffisiez,ayez suffi
Suffire,ils/elles,suffisent,suffiraient,ont suffi,suffiront,suffisent,aient suffi
Recevoir,je,reçois,recevrais,ai reçu,recevrai,reçoive,aie reçu
Recevoir,tu,reçois,recevrais,as reçu,recevras,reçoives,aies reçu
Recevoir,il/elle,reçoit,recevrait,a reçu,recevra,reçoive,ait reçu
Recevoir,nous,recevons,recevrions,avons reçu,recevrons,recevions,ayons reçu
Recevoir,vous,recevez,recevriez,avez reçu,recevrez,receviez,ayez reçu
Recevoir,ils/elles,reçoivent,recevraient,ont reçu,recevront,reçoivent,aient reçu
Rompre,je,romps,romprais,ai rompu,romprai,rompe,aie rompu
Rompre,tu,romps,romprais,as rompu,rompras,rompes,aies rompu
Rompre,il/elle,rompt,romprait,a rompu,rompra,rompe,ait rompu
Rompre,nous,rompons,romprions,avons rompu,romprons,rompions,ayons rompu
Rompre,vous,rompez,rompriez,avez rompu,romprez,rompiez,ayez rompu
Rompre,ils/elles,rompent,rompraient,ont rompu,rompront,rompent,aient rompu
Peindre,je,peins,peindrais,ai peint,peindrai,peigne,aie peint
Peindre,tu,peins,peindrais,as peint,peindras,peignes,aies peint
Peindre,il/elle,peint,peindrait,a peint,peindra,peigne,ait peint
Peindre,nous,peignons,peindrions,avons peint,peindrons,peignions,ayons peint
Peindre,vous,peignez,peindriez,avez peint,peindrez,peigniez,ayez peint
Peindre,ils/elles,peignent,peindraient,ont peint,peindront,peignent,aient peint
Joindre,je,joins,joindrais,ai joint,joindrai,joigne,aie joint
Joindre,tu,joins,joindrais,as joint,joindras,joignes,aies joint
Joindre,il/elle,joint,joindrait,a joint,joindra,joigne,ait joint
Joindre,nous,joignons,joindrions,avons joint,joindrons,joignions,ayons joint
Joindre,vous,joignez,joindriez,avez joint,joindrez,joigniez,ayez joint
Joindre,ils/elles,joignent,joindraient,ont joint,joindront,joignent,aient joint
Vaincre,je,vaincs,vaincrais,ai vaincu,vaincrai,vainque,aie vaincu
Vaincre,tu,vaincs,vaincrais,as vaincu,vaincras,vainques,aies vaincu
Vaincre,il/elle,vainc,vaincrait,a vaincu,vaincra,vainque,ait vaincu
Vaincre,nous,vainquons,vaincrions,avons vaincu,vaincrons,vainquons,ayons vaincu
Vaincre,vous,vainquez,vaincriez,avez vaincu,vaincrez,vainquiez,ayez vaincu
Vaincre,ils/elles,vainquent,vaincraient,ont vaincu,vaincront,vainquent,aient vaincu
